Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,League,Team
Dylan Sumner,eng ENG,FW,24,1,1,77,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,NPSL,Duluth FC
Andres Solares,gt GUA,MF,23,1,1,76,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,NPSL,Duluth FC
Stan van den Beld,nl NED,FW,21,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,NPSL,Duluth FC
Aleksandar Mihov,bg BUL,MF,22,1,1,34,0.4,0,0,0,0,0,0,0,1,0,0,0,0,0,NPSL,Duluth FC
Tyler Limmer,us USA,FW,27,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,NPSL,Duluth FC
Alexis Santamaria,us USA,MF,23,1,0,14,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,NPSL,Duluth FC
Aidan King,eng ENG,MF,21,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,NPSL,Duluth FC
Tahj Hylton,us USA,MF,24,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,NPSL,Duluth FC
Juan Sola Gustran,us USA,MF,20,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,NPSL,Duluth FC
Alexandre Paredes,us USA,GK,22,0,0,,,,,,,,,,,,,,,,NPSL,Duluth FC
Stefan Roeb,de GER,DF,22,0,0,,,,,,,,,,,,,,,,NPSL,Duluth FC
Squad Total,,,24.6,1,11,90,1,1,0,1,1,0,0,3,1,1,0,1,1,1,,
Opponent Total,,,29,1,11,90,1,5,4,9,5,0,1,1,0,5,4,9,5,9,,
,,,,,,,,,,,,,,,,,,,,,NPSL,El Farrolito
Gabriel Arias,us USA,MF,25,3,3,300,3.3,0,1,1,0,0,0,1,0,0,0.3,0.3,0,0.3,NPSL,El Farrolito
Jesús Daniel Martínez,co COL,DF,30,3,3,300,3.3,0,0,0,0,0,0,3,0,0,0,0,0,0,NPSL,El Farrolito
Johan Lizarralde,co COL,GK,29,3,3,300,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,NPSL,El Farrolito
Andrés Zuluaga,co COL,DF,28,3,3,300,3.3,1,0,1,1,0,0,1,0,0.3,0,0.3,0.3,0.3,NPSL,El Farrolito
Dembor Bengtson,hn HON,FW,29,3,3,296,3.3,1,0,1,1,0,0,0,0,0.3,0,0.3,0.3,0.3,NPSL,El Farrolito
Herlbert Soto,co COL,MF,29,3,3,296,3.3,1,0,1,0,1,1,2,0,0.3,0,0.3,0,0,NPSL,El Farrolito
Jehimy Arias,us USA,MF,27,3,3,224,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,NPSL,El Farrolito
Sacré Kipré,ci CIV,MF,22,3,3,174,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,NPSL,El Farrolito
Jhonatan Pérez,co COL,DF,35,3,2,220,2.4,0,0,0,0,0,0,1,0,0,0,0,0,0,NPSL,El Farrolito
Jhonatan Mosquera,co COL,DF,37,2,2,158,1.8,0,0,0,0,0,0,1,0,0,0,0,0,0,NPSL,El Farrolito
Erik Arias,us USA,MF,24,3,1,152,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,NPSL,El Farrolito
Omar Quiroga,us USA,DF,25,3,1,119,1.3,0,0,0,0,0,0,1,0,0,0,0,0,0,NPSL,El Farrolito
Edgard Kreye,us USA,MF,23,2,1,118,1.3,1,0,1,1,0,0,0,0,0.76,0,0.76,0.76,0.76,NPSL,El Farrolito
Hadier Borja,co COL,DF,27,3,1,80,0.9,0,0,0,0,0,0,1,0,0,0,0,0,0,NPSL,El Farrolito
Judas Higuera,mx MEX,MF,24,1,1,45,0.5,0,1,1,0,0,0,1,0,0,2,2,0,2,NPSL,El Farrolito
Jorge Murillo,co COL,MF,29,3,0,139,1.5,0,0,0,0,0,0,1,0,0,0,0,0,0,NPSL,El Farrolito
Brayan Gómez,co COL,MF,25,2,0,48,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,NPSL,El Farrolito
Ramón Córdoba,co COL,DF,35,1,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,NPSL,El Farrolito
Daouda Sidibe,us USA,,21,1,0,4,0,1,0,1,1,0,0,0,0,22.5,0,22.5,22.5,22.5,NPSL,El Farrolito
Kevin Gonzalez,us USA,GK,32,0,0,,,,,,,,,,,,,,,,NPSL,El Farrolito
Squad Total,,,28.7,3,33,300,3.3,5,2,7,4,1,1,13,0,1.5,0.6,2.1,1.2,1.8,,
Opponent Total,,,23.8,3,33,300,3.3,3,2,5,2,1,1,19,1,0.9,0.6,1.5,0.6,1.2,,
,,,,,,,,,,,,,,,,,,,,,NPSL,FC Arizona
Bryan Acevez,us USA,MF,25,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NPSL,FC Arizona
Christian Aguirre,us USA,DF,19,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NPSL,FC Arizona
Austin Cuevas,us USA,DF,26,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NPSL,FC Arizona
Derek Hatcher,us USA,GK,29,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NPSL,FC Arizona
Jesse Maldonado,us USA,MF,22,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NPSL,FC Arizona
Tarek Salama,us USA,DF,27,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NPSL,FC Arizona
Cedrick Jeanty,us USA,DF,28,1,1,75,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,NPSL,FC Arizona
Marco Afonso,za RSA,MF,27,1,1,74,0.8,0,1,1,0,0,0,0,0,0,1.22,1.22,0,1.22,NPSL,FC Arizona
Gabriel Waters,us USA,MF,23,1,1,74,0.8,1,0,1,1,0,0,1,0,1.22,0,1.22,1.22,1.22,NPSL,FC Arizona
Justin Provenzano,us USA,FW,21,1,1,51,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,NPSL,FC Arizona
Ricardo Velazco,us USA,MF,31,1,1,50,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,NPSL,FC Arizona
Jason Cunliffe,gu GUM,FW,41,1,0,40,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,NPSL,FC Arizona
Kyle Benjamin,us USA,DF,21,1,0,39,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,NPSL,FC Arizona
Marlon Atondo,us USA,MF,27,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,NPSL,FC Arizona
Kamani Stewart,jm JAM,MF,29,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,NPSL,FC Arizona
Saden Alharthy,us USA,DF,21,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,NPSL,FC Arizona
Isaiah Benjamin,us USA,DF,19,0,0,,,,,,,,,,,,,,,,NPSL,FC Arizona
