Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
40,Darril Araya,cr CRC,FW,cr Herediano,23,2000,4,1,179,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
41,Ronaldo Araya,cr CRC,MF,cr Herediano,24,1999,1,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
42,Pablo Arboine,cr CRC,DF,cr Saprissa,25,1998,2,2,210,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
43,Max Arfsten,us USA,MF,us Columbus Crew,22,2001,3,0,40,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
44,Azmahar Ariano,pa PAN,DF,pa CA Independiente,33,1991,2,2,169,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
45,Gerardo Arteaga,mx MEX,DF,mx Monterrey,25,1998,8,7,647,7.2,0,1,1,0,0,0,1,0,0,0.14,0.14,0,0.14,Matches
46,Víctor Arteaga,mx MEX,MF,mx Toluca,19,2004,2,2,159,1.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
47,Artur,br BRA,MF,us Houston Dynamo,27,1996,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
48,Gustavo Ascona,ar ARG,FW,do Moca FC,36,1987,2,2,160,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
49,Dwayne Atkinson,jm JAM,MF,jm Cavalier FC,21,2002,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
50,Carlos Avila,pa PAN,DF,pa CA Independiente,27,1996,2,0,39,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
51,Victor Avila,pa PAN,FW,pa CA Independiente,25,1998,2,1,107,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
52,Tomás Avilés,ar ARG,DF,us Inter Miami,19,2004,4,4,360,4,1,0,1,1,0,0,0,0,0.25,0,0.25,0.25,0.25,Matches
53,Beni Badibanga,be BEL,MF,ca Forge FC,27,1996,2,2,155,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
54,Claudio Baeza,cl CHI,MF,mx Toluca,30,1993,2,1,86,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
55,Corey Baird,us USA,FW,us FC Cincinnati,28,1996,3,3,216,2.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
56,Esmir Bajraktarevic,ba BIH,"FW,MF",us NE Revolution,18,2005,6,3,355,3.9,1,3,4,1,0,0,0,0,0.25,0.76,1.01,0.25,1.01,Matches
57,Leyvin Balanta,co COL,DF,ni Real Estelí FC,33,1990,2,1,89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
58,Maicol Balanta,co COL,"FW,MF",ni Real Estelí FC,34,1990,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
59,Leandro Balotelli,br BRA,FW,sr SV Robinhood,33,1990,2,2,80,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
60,Vino Barclett,lc LCA,GK,jm Cavalier FC,24,1999,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
61,Michael Barrantes,cr CRC,MF,cr Alajuelense,40,1983,1,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
62,Sergio Barreto,ar ARG,DF,mx Pachuca,24,1999,5,3,302,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
63,Ethan Bartlow,us USA,DF,us Houston Dynamo,23,2000,3,2,233,2.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
64,Amine Bassi,fr FRA,"MF,FW",us Houston Dynamo,26,1997,3,2,204,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
65,Juan Basulto,mx MEX,DF,cr Herediano,32,1992,2,1,110,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
66,Keylon Batiz,ni NCA,FW,ni Real Estelí FC,28,1996,1,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
67,Josh Bauer,us USA,DF,us Nashville SC,25,1998,3,1,146,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
68,Alán Bautista,mx MEX,MF,mx Pachuca,21,2002,6,0,133,1.5,2,0,2,2,0,0,0,0,1.35,0,1.35,1.35,1.35,Matches
69,Alejandro Bedoya,us USA,MF,us Philadelphia Union,36,1987,4,2,229,2.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
70,Kyle Bekker,ca CAN,MF,ca Forge FC,33,1990,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
71,Alierio Belfor,sr SUR,DF,sr SV Robinhood,24,1999,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
72,Tomás Belmonte,ar ARG,MF,mx Toluca,25,1998,1,1,45,0.5,0,1,1,0,0,0,1,0,0,2,2,0,2,Matches
73,Fernando Beltrán,mx MEX,MF,mx Guadalajara,25,1998,3,3,242,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
