Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
40,Luiz Araújo,br BRA,MF,br Flamengo,28,1996,4,4,338,3.8,1,1,2,1,0,0,0,0,0.27,0.27,0.53,0.27,0.53,Matches
41,Jhon Arias,co COL,"FW,MF",br Fluminense,27,1997,6,6,540,6,1,1,2,1,0,0,1,0,0.17,0.17,0.33,0.17,0.33,Matches
42,Franco Armani,ar ARG,GK,ar River Plate,38,1986,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
43,Gerardo Arteaga,mx MEX,"MF,DF",mx Monterrey,26,1998,4,3,296,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
44,Artur,br BRA,"FW,MF",br Botafogo (RJ),26,1998,4,4,359,4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
45,Raúl Asencio,es ESP,DF,es Real Madrid,21,2003,4,3,120,1.3,0,0,0,0,0,0,0,1,0,0,0,0,0,Matches
46,Emam Ashour,eg EGY,MF,eg Al Ahly,26,1998,1,1,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
47,Kristjan Asllani,al ALB,MF,it Inter,22,2002,4,4,280,3.1,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
48,Otavio Ataide,br BRA,DF,pt Porto,22,2002,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
49,Marwan Attia,eg EGY,MF,eg Al Ahly,26,1998,2,2,180,2,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
50,Yahya Attiat Allah,ma MAR,DF,eg Al Ahly,29,1995,1,1,86,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
51,Bathusi Aubaas,za RSA,MF,za Mamelodi Sundowns,29,1995,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
52,Carlos Augusto,br BRA,"MF,DF",it Inter,26,1999,4,2,206,2.3,0,1,1,0,0,0,1,0,0,0.44,0.44,0,0.44,Matches
53,Fredrik Aursnes,no NOR,"DF,MF",pt Benfica,29,1995,4,4,334,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
54,Tomás Avilés,ar ARG,DF,us Inter Miami,20,2004,4,2,235,2.6,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
55,Stephane Aziz Ki,bf BFA,MF,ma Wydad AC,28,1996,2,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
56,Adam Aznou,ma MAR,DF,de Bayern Munich,18,2006,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
57,Benoît Badiashile,fr FRA,DF,eng Chelsea,23,2001,2,2,159,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
58,Edmund Baidoo,gh GHA,FW,at RB Salzburg,19,2006,3,3,218,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
59,Samson Baidoo,at AUT,DF,at RB Salzburg,20,2004,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
60,Adrian Bajrami,ch SUI,DF,pt Benfica,22,2002,2,0,18,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
